"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"LR120R","LR120",1,"cDNA","Shallow",12,2017,"Summer","2017-08-12",51.3763394609061,-63.5729518730552,"Upriver"
"LR121D","LR121",1,"DNA","Shallow",11,2017,"Summer","2017-08-17",50.3041661760171,-63.5958847693471,"Downriver"
"LR121R","LR121",1,"cDNA","Shallow",12,2017,"Summer","2017-08-17",50.3041661760171,-63.5958847693471,"Downriver"
"LR122D","LR122",1,"DNA","Shallow",11,2017,"Summer","2017-08-17",50.3156978904738,-63.4630805649971,"Downriver"
"LR122R","LR122",1,"cDNA","Shallow",12,2017,"Summer","2017-08-17",50.3156978904738,-63.4630805649971,"Downriver"
"LR123D","LR123",1,"DNA","Shallow",11,2017,"Summer","2017-08-18",50.3245,-63.36677,"Downriver"
"LR123R","LR123",1,"cDNA","Shallow",12,2017,"Summer","2017-08-18",50.3245,-63.36677,"Downriver"
"LR125D","LR125",1,"DNA","Shallow",11,2017,"Summer","2017-08-18",50.38229,-63.26742,"Downriver"
"LR125R","LR125",1,"cDNA","Shallow",12,2017,"Summer","2017-08-18",50.38229,-63.26742,"Downriver"
"LR126D","LR126",1,"DNA","Shallow",11,2017,"Summer","2017-08-18",50.31345,-63.77851,"Downriver"
"LR126R","LR126",1,"cDNA","Shallow",12,2017,"Summer","2017-08-18",50.31345,-63.77851,"Downriver"
"LR127D","LR127",1,"DNA","Shallow",11,2017,"Summer","2017-08-18",50.3097,-63.62239,"Downriver"
"LR127R","LR127",1,"cDNA","Shallow",12,2017,"Summer","2017-08-18",50.3097,-63.62239,"Downriver"
"RO136D","RO136",1,"DNA","Shallow",11,2017,"Summer","2017-08-09",50.46383,-63.2183,"RO1"
"RO136R","RO136",1,"cDNA","Shallow",12,2017,"Summer","2017-08-09",50.46383,-63.2183,"RO1"
"RO138D","RO138",1,"DNA","Shallow",11,2017,"Summer","2017-08-09",50.46229,-63.23435,"RO1"
"RO138R","RO138",1,"cDNA","Shallow",12,2017,"Summer","2017-08-09",50.46229,-63.23435,"RO1"
"RO139D","RO139",1,"DNA","Shallow",11,2017,"Summer","2017-08-10",50.6268,-63.18727,"RO1"
"RO139R","RO139",1,"cDNA","Shallow",12,2017,"Summer","2017-08-10",50.6268,-63.18727,"RO1"
"RO141D","RO141",1,"DNA","Shallow",11,2017,"Summer","2017-08-14",50.46284,-63.23442,"RO1"
"RO141R","RO141",1,"cDNA","Shallow",12,2017,"Summer","2017-08-14",50.46284,-63.23442,"RO1"
"RO142D","RO142",1,"DNA","Shallow",11,2017,"Summer","2017-08-14",50.45214,-63.23266,"RO1"
"RO142R","RO142",1,"cDNA","Shallow",12,2017,"Summer","2017-08-14",50.45214,-63.23266,"RO1"
"RO143D","RO143",1,"DNA","Shallow",11,2017,"Summer","2017-08-14",50.44199,-63.22303,"RO1"
"RO143R","RO143",1,"cDNA","Shallow",12,2017,"Summer","2017-08-14",50.44199,-63.22303,"RO1"
"RO145D","RO145",1,"DNA","Shallow",11,2017,"Summer","2017-08-17",50.38969,-63.24699,"RO1"
"RO145R","RO145",1,"cDNA","Shallow",12,2017,"Summer","2017-08-17",50.38969,-63.24699,"RO1"
"RO145.Hypo.D","RO145.Hypo",1,"DNA","Shallow",11,2017,"Summer","2017-08-17",50.38969,-63.24699,"Deep"
"RO145.Hypo.R","RO145.Hypo",1,"cDNA","Shallow",12,2017,"Summer","2017-08-17",50.38969,-63.24699,"Deep"
"RO147D","RO147",1,"DNA","Shallow",11,2017,"Summer","2017-08-17",50.42952,-63.21965,"RO1"
"RO147R","RO147",1,"cDNA","Shallow",12,2017,"Summer","2017-08-17",50.42952,-63.21965,"RO1"
"RO2100D","RO2100",1,"DNA","Shallow",11,2017,"Summer","2017-08-12",50.75975,-63.21184,"RO2"
"RO2100R","RO2100",1,"cDNA","Shallow",12,2017,"Summer","2017-08-12",50.75975,-63.21184,"RO2"
"RO2102D","RO2102",1,"DNA","Shallow",11,2017,"Summer","2017-08-14",50.9921498694019,-63.3060437297463,"RO2"
"RO2102R","RO2102",1,"cDNA","Shallow",12,2017,"Summer","2017-08-14",50.9921498694019,-63.3060437297463,"RO2"
"RO2104D","RO2104",1,"DNA","Shallow",11,2017,"Summer","2017-08-14",51.0889757822202,-63.3955844942646,"RO2"
"RO2104R","RO2104",1,"cDNA","Shallow",12,2017,"Summer","2017-08-14",51.0889757822202,-63.3955844942646,"RO2"
