"folder.path","file.path","original.name","ID.2015","pairend","final_name","dr_match_name","replicate","plate.id","year","dna_type","seq_depth","ext"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0228.LR041_R1.fastq.gz","LR041","L320","FWD","L320D","L320",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0228.LR041_R2.fastq.gz","LR041","L320","RVS","L320D","L320",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0229.LR053_R1.fastq.gz","LR053","M08","FWD","M08D","M08",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0229.LR053_R2.fastq.gz","LR053","M08","RVS","M08D","M08",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0230.LR065_R1.fastq.gz","LR065","SWLR02","FWD","SWLR02D","SWLR02",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0230.LR065_R2.fastq.gz","LR065","SWLR02","RVS","SWLR02D","SWLR02",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0231.LR077_R1.fastq.gz","LR077","SPR10","FWD","SPR10D","SPR10",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0231.LR077_R2.fastq.gz","LR077","SPR10","RVS","SPR10D","SPR10",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0232.LR089_R1.fastq.gz","LR089","SED318","FWD","SED318D","SED318",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0232.LR089_R2.fastq.gz","LR089","SED318","RVS","SED318D","SED318",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0233.LR006_R1.fastq.gz","LR006","LR01","FWD","LR01D","LR01",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0233.LR006_R2.fastq.gz","LR006","LR01","RVS","LR01D","LR01",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0234.LR018_R1.fastq.gz","LR018","LR18","FWD","LR18D","LR18",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0234.LR018_R2.fastq.gz","LR018","LR18","RVS","LR18D","LR18",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0235.LR030_R1.fastq.gz","LR030","RO2-07","FWD","RO207D","RO207",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0235.LR030_R2.fastq.gz","LR030","RO2-07","RVS","RO207D","RO207",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0236.LR042_R1.fastq.gz","LR042","WELL1","FWD","WELL1D","WELL1",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0236.LR042_R2.fastq.gz","LR042","WELL1","RVS","WELL1D","WELL1",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
