sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	nucleic_acid_type	replicate	sampling_depth_m
LR121D	LR121	PRJNA693020	River metagenome	NA	River	2017-08-17	Canada:Quebec	50.3041661760171 N 63.5958847693471 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR121R	LR121	PRJNA693020	River metagenome	NA	River	2017-08-17	Canada:Quebec	50.3041661760171 N 63.5958847693471 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR122D	LR122	PRJNA693020	River metagenome	NA	River	2017-08-17	Canada:Quebec	50.3156978904738 N 63.4630805649971 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR122R	LR122	PRJNA693020	River metagenome	NA	River	2017-08-17	Canada:Quebec	50.3156978904738 N 63.4630805649971 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR123D	LR123	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.3245 N 63.36677 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR123R	LR123	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.3245 N 63.36677 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR125D	LR125	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.38229 N 63.26742 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR125R	LR125	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.38229 N 63.26742 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR126D	LR126	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.31345 N 63.77851 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR126R	LR126	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.31345 N 63.77851 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR127D	LR127	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.3097 N 63.62239 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR127R	LR127	PRJNA693020	River metagenome	NA	River	2017-08-18	Canada:Quebec	50.3097 N 63.62239 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO136D	RO136	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-09	Canada:Quebec	50.46383 N 63.2183 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO136R	RO136	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-09	Canada:Quebec	50.46383 N 63.2183 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO138D	RO138	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-09	Canada:Quebec	50.46229 N 63.23435 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO138R	RO138	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-09	Canada:Quebec	50.46229 N 63.23435 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO139D	RO139	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	50.6268 N 63.18727 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO139R	RO139	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	50.6268 N 63.18727 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO141D	RO141	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.46284 N 63.23442 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO141R	RO141	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.46284 N 63.23442 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO142D	RO142	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.45214 N 63.23266 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO142R	RO142	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.45214 N 63.23266 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO143D	RO143	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.44199 N 63.22303 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO143R	RO143	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.44199 N 63.22303 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO145D	RO145	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-17	Canada:Quebec	50.38969 N 63.24699 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO145R	RO145	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-17	Canada:Quebec	50.38969 N 63.24699 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO145.Hypo.D	RO145.Hypo	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-17	Canada:Quebec	50.38969 N 63.24699 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	29.3
RO145.Hypo.R	RO145.Hypo	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-17	Canada:Quebec	50.38969 N 63.24699 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	29.3
RO147D	RO147	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-17	Canada:Quebec	50.42952 N 63.21965 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO147R	RO147	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-17	Canada:Quebec	50.42952 N 63.21965 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2100D	RO2100	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-12	Canada:Quebec	50.75975 N 63.21184 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO2100R	RO2100	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-12	Canada:Quebec	50.75975 N 63.21184 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2102D	RO2102	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.9921498694019 N 63.3060437297463 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO2102R	RO2102	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	50.9921498694019 N 63.3060437297463 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2104D	RO2104	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	51.0889757822202 N 63.3955844942646 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO2104R	RO2104	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-14	Canada:Quebec	51.0889757822202 N 63.3955844942646 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2108D	RO2108	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.8987372446898 N 63.2472313117024 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO2108R	RO2108	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.8987372446898 N 63.2472313117024 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2110D	RO2110	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.8226619704731 N 63.1927175778933 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO2110R	RO2110	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.8226619704731 N 63.1927175778933 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2111D	RO2111	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.6568 N 63.26298 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
